WPS Index rank,Country and group,WPS Index value,GDP per capita (PPP$; rank minus WPS rank),"Education (women's mean years of schooling, ages 25+)","Financial inclusion (women ages 15+, %)","Employment (women ages 25+, %)","Cellphone use (women ages 15+, %)","Parliamentary representationa (seats held by women, %)",Legal discrimination (aggregate score),Son bias                  (male to female ratio at birth),"Discriminatory work norms (males 15+ who agree it is unacceptable for women to work, %)"," Intimate partner violence (experienced by women in the past year, %)","Community safety (perception among women ages 15+, %)","Organized violence (battle deaths per 100,000 people)",,,,
144,Liberia,0.608,13,3.5,28.2,65.9,57.1,11.7,23,1.05,12,35.0,33.7,0.00,,,,
145,Djibouti,0.604,..,4.4,8.8,53.4,41.2,26.2,28,1.04,16,21.1,69.3,0.22,,,,
145,Nigeria,0.604,-29,5.0,27.3,63.0,79.6,5.8,25,1.06,17,11.0,47.8,1.85,,,,
147,Lebanon,0.599,-67,8.5,32.9,23.4,90.9,4.7,33,1.05,20,8.9,49.0,1.94,,,,
148,Cameroon,0.597,-16,4.7,30.0,78.5,82.5,29.3,33,1.03,19,32.7,36.7,2.57,,,,
149,Congo,0.593,-28,5.5,21.0,71.2,74.4,13.6,40,1.03,8,21.1,34.3,0.60,,,,
150,Myanmar,0.587,-34,4.9,26.0,48.5,75.2,11.6,35,1.03,33,11.0,68.6,1.60,,,,
151,Egypt,0.583,-59,6.5,27.0,19.5,73.1,14.9,37,1.06,48,14.0,82.6,0.71,,,,
151,Mauritania,0.583,-24,3.5,15.5,30.9,74.0,20.3,45,1.05,21,21.1,35.3,0.00,,,,
153,Sierra Leone,0.578,4,2.7,15.4,68.5,46.5,12.3,32,1.02,12,28.7,48.1,0.00,,,,
154,Somalia,0.564,..,4.4,33.7,19.8,63.5,24.3,25,1.03,28,21.1,85.9,19.10,,,,
155,Niger,0.554,7,1.1,10.9,72.1,44.6,17.0,26,1.05,33,21.1,57.2,1.13,,,,
156,Chad,0.553,-6,1.2,14.9,68.9,49.3,14.9,25,1.03,20,17.5,40.9,0.49,,,,
157,Sudan,0.547,-34,3.1,10.0,23.8,68.1,27.5,49,1.04,16,21.1,64.3,2.41,,,,
158,Libya,0.546,-96,7.7,59.6,22.7,100.0,16.0,39,1.06,52,15.3,42.5,21.81,,,,
159,Mali,0.539,-12,1.0,25.7,61.9,64.5,8.8,33,1.05,30,26.9,59.7,3.51,,,,
160,Central African Republic,0.513,5,3.0,9.7,68.4,66.3,8.6,28,1.03,11,26.3,49.4,20.40,,,,
161,"Congo, Dem. Rep.",0.512,2,5.3,24.2,70.8,43.2,9.3,27,1.03,25,36.8,37.0,4.40,,,,
162,Iraq,0.490,-90,7.4,19.5,14.0,84.6,25.2,41,1.07,53,45.3,60.3,21.70,,,,
163,South Sudan,0.479,..,4.0,4.7,66.6,27.0,26.6,34,1.04,25,47.0,42.6,9.12,,,,
164,Pakistan,0.460,-42,3.7,7.0,24.2,34.0,20.0,38,1.09,73,14.5,63.2,0.43,,,,
165,Syria,0.416,..,4.6,19.6,11.7,79.6,13.2,48,1.05,37,23.0,16.9,180.27,,,,
166,Afghanistan,0.373,-15,1.9,7.2,51.6,46.2,27.3,40,1.06,51,46.1,12.2,63.63,,,,
167,Yemen,0.351,-23,1.9,1.7,5.3,48.0,1.0,50,1.05,53,15.3,42.6,12.76,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
