regions,gender,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Congo,M,2.24,2.37,2.5,2.64,2.79,2.95,3.11,3.28,3.46,3.65,3.85,4.05,4.27,4.49,4.73,4.98,5.24,5.52
Colombia,F,19.1,19.51,19.93,20.35,20.77,21.2,21.63,22.06,22.49,22.93,23.38,23.82,24.28,24.74,25.2,25.67,26.15,26.63
Colombia,M,10.31,10.68,11.06,11.45,11.84,12.23,12.64,13.04,13.46,13.88,14.31,14.75,15.19,15.65,16.11,16.59,17.08,17.58
Comoros,F,6.27,6.53,6.79,7.06,7.34,7.63,7.94,8.25,8.58,8.92,9.27,9.64,10.02,10.42,10.83,11.26,11.71,12.17
Comoros,M,1.56,1.63,1.7,1.78,1.86,1.94,2.02,2.11,2.2,2.3,2.4,2.51,2.62,2.74,2.87,3,3.14,3.3
Cabo Verde,F,8.55,8.96,9.37,9.8,10.23,10.67,11.11,11.56,12.02,12.48,12.94,13.41,13.89,14.37,14.85,15.34,15.83,16.32
Cabo Verde,M,2.67,2.85,3.04,3.23,3.43,3.64,3.86,4.09,4.33,4.57,4.83,5.09,5.36,5.64,5.93,6.24,6.56,6.89
Costa Rica,F,18.53,19.14,19.79,20.45,21.13,21.83,22.55,23.27,23.99,24.72,25.45,26.18,26.89,27.6,28.3,29,29.69,30.36
Costa Rica,M,10.04,10.53,11.05,11.6,12.17,12.77,13.39,14.03,14.68,15.35,16.04,16.73,17.44,18.15,18.86,19.59,20.33,21.06
Cuba,F,22.92,23.35,23.77,24.2,24.63,25.06,25.49,25.92,26.35,26.78,27.21,27.65,28.09,28.53,28.98,29.43,29.89,30.35
Cuba,M,10.87,11.26,11.66,12.07,12.49,12.92,13.36,13.81,14.27,14.74,15.21,15.7,16.21,16.72,17.25,17.8,18.36,18.94
Cyprus,F,17.41,17.71,18,18.28,18.54,18.8,19.06,19.3,19.54,19.77,20,20.23,20.45,20.68,20.91,21.14,21.38,21.63
Cyprus,M,14.62,15.05,15.48,15.9,16.32,16.74,17.15,17.57,17.98,18.39,18.8,19.22,19.64,20.06,20.49,20.93,21.39,21.85
