Year,Overall rank,Country or region,Happiness Score,GDP per capita
2016,18,Belgium,6.929,1.42539
2016,19,Ireland,6.907,1.48341
2016,20,Luxembourg,6.871,1.69752
2016,21,Mexico,6.778,1.11508
2016,22,Singapore,6.739,1.64555
2016,23,United Kingdom,6.725,1.40283
2016,24,Chile,6.705,1.2167
2016,25,Panama,6.701,1.18306
2016,26,Argentina,6.65,1.15137
2016,27,Czech Republic,6.596,1.30915
2016,28,United Arab Emirates,6.573,1.57352
2016,29,Uruguay,6.545,1.18157
2016,30,Malta,6.488,1.30782
2016,31,Colombia,6.481,1.03032
2016,32,France,6.478,1.39488
2016,33,Thailand,6.474,1.0893
2016,34,Saudi Arabia,6.379,1.48953
2016,34,Taiwan,6.379,1.39729
2016,36,Qatar,6.375,1.82427
2016,37,Spain,6.361,1.34253
2016,38,Algeria,6.355,1.05266
2016,39,Guatemala,6.324,0.83454
2016,40,Suriname,6.269,1.09686
2016,41,Kuwait,6.239,1.61714
2016,42,Bahrain,6.218,1.44024
2016,43,Trinidad,6.168,1.32572
2016,44,Venezuela,6.084,1.13367
2016,45,Slovakia,6.078,1.27973
2016,46,El Salvador,6.068,0.8737
2016,47,Malaysia,6.005,1.25142
2016,48,Nicaragua,5.992,0.69384
2016,49,Uzbekistan,5.987,0.73591
2016,50,Italy,5.977,1.35495
2016,51,Ecuador,5.976,0.97306
2016,52,Belize,5.956,0.87616
2016,53,Japan,5.921,1.38007
2016,54,Kazakhstan,5.919,1.22943
2016,55,Moldova,5.897,0.69177
2016,56,Russia,5.856,1.23228
2016,57,Poland,5.835,1.24585
2016,57,South Korea,5.835,1.35948
2016,59,Bolivia,5.822,0.79422
2016,60,Lithuania,5.813,1.2692
2016,61,Belarus,5.802,1.13062
2016,62,North Cyprus,5.771,1.31141
2016,63,Slovenia,5.768,1.29947
2016,64,Peru,5.743,0.99602
2016,65,Turkmenistan,5.658,1.08017
2016,66,Mauritius,5.648,1.14372
2016,67,Libya,5.615,1.06688
2016,68,Latvia,5.56,1.21788
2016,69,Cyprus,5.546,1.31857
2016,70,Paraguay,5.538,0.89373
2016,71,Romania,5.528,1.1697
2016,72,Estonia,5.517,1.27964
2016,73,Jamaica,5.51,0.89333
2016,74,Croatia,5.488,1.18649
2016,75,Hong Kong,5.458,1.5107
2016,76,Somalia,5.44,0
2016,77,Kosovo,5.401,0.90145
2016,78,Turkey,5.389,1.16492
2016,79,Indonesia,5.314,0.95104
2016,80,Jordan,5.303,0.99673
2016,81,Azerbaijan,5.291,1.12373
2016,82,Philippines,5.279,0.81217
2016,83,China,5.245,1.0278
2016,84,Bhutan,5.196,0.8527
2016,85,Kyrgyzstan,5.185,0.56044
2016,86,Serbia,5.177,1.03437
2016,87,Bosnia and Herzegovina,5.163,0.93383
2016,88,Montenegro,5.161,1.07838
2016,89,Dominican Republic,5.155,1.02787
2016,90,Morocco,5.151,0.84058
2016,91,Hungary,5.145,1.24142
2016,92,Pakistan,5.132,0.68816
2016,93,Lebanon,5.129,1.12268
2016,94,Portugal,5.123,1.27607
2016,95,Macedonia,5.121,1.0193
2016,96,Vietnam,5.061,0.74037
2016,97,Somaliland Region,5.057,0.25558
2016,98,Tunisia,5.045,0.97724
2016,99,Greece,5.033,1.24886
2016,100,Tajikistan,4.996,0.48835
2016,101,Mongolia,4.907,0.98853
2016,102,Laos,4.876,0.68042
2016,103,Nigeria,4.875,0.75216
2016,104,Honduras,4.871,0.69429
2016,105,Iran,4.813,1.11758
2016,106,Zambia,4.795,0.61202
2016,107,Nepal,4.793,0.44626
2016,108,Palestinian Territories,4.754,0.67024
2016,109,Albania,4.655,0.9553
2016,110,Bangladesh,4.643,0.54177
2016,111,Sierra Leone,4.635,0.36485
2016,112,Iraq,4.575,1.07474
2016,113,Namibia,4.574,0.93287
2016,114,Cameroon,4.513,0.52497
2016,115,Ethiopia,4.508,0.29283
2016,116,South Africa,4.459,1.02416
2016,117,Sri Lanka,4.415,0.97318
2016,118,India,4.404,0.74036
2016,119,Myanmar,4.395,0.34112
2016,120,Egypt,4.362,0.95395
2016,121,Armenia,4.36,0.86086
2016,122,Kenya,4.356,0.52267
2016,123,Ukraine,4.324,0.87287
2016,124,Ghana,4.276,0.63107
2016,125,Congo (Kinshasa),4.272,0.05661
2016,126,Georgia,4.252,0.83792
2016,127,Congo (Brazzaville),4.236,0.77109
2016,128,Senegal,4.219,0.44314
2016,129,Bulgaria,4.217,1.11306
2016,130,Mauritania,4.201,0.61391
2016,131,Zimbabwe,4.193,0.35041
2016,132,Malawi,4.156,0.08709
2016,133,Sudan,4.139,0.63069
2016,134,Gabon,4.121,1.15851
2016,135,Mali,4.073,0.31292
2016,136,Haiti,4.028,0.34097
2016,137,Botswana,3.974,1.09426
2016,138,Comoros,3.956,0.27509
2016,139,Ivory Coast,3.916,0.55507
2016,140,Cambodia,3.907,0.55604
2016,141,Angola,3.866,0.84731
2016,142,Niger,3.856,0.1327
2016,143,South Sudan,3.832,0.39394
2016,144,Chad,3.763,0.42214
2016,145,Burkina Faso,3.739,0.31995
2016,145,Uganda,3.739,0.34719
2016,147,Yemen,3.724,0.57939
2016,148,Madagascar,3.695,0.27954
2016,149,Tanzania,3.666,0.47155
2016,150,Liberia,3.622,0.10706
2016,151,Guinea,3.607,0.22415
2016,152,Rwanda,3.515,0.32846
2016,153,Benin,3.484,0.39499
2016,154,Afghanistan,3.36,0.38227
2016,155,Togo,3.303,0.28123
2016,156,Syria,3.069,0.74719
2016,157,Burundi,2.905,0.06831
2015,1,Switzerland,7.587,1.39651
2015,2,Iceland,7.561,1.30232
2015,3,Denmark,7.527,1.32548
2015,4,Norway,7.522,1.459
2015,5,Canada,7.427,1.32629
2015,6,Finland,7.406,1.29025
